CODE CPV;DE Label;EN Label;ES Label;FR Label;PT Label;Short Code
03111200-4;Erdnüsse;Peanuts;Cacahuetes;Graines d'arachide;Amendoins;03111200
03111600-8;Senfsamen;Mustard seeds;Semillas de mostaza;Graines de moutarde;Sementes de mostarda;03111600
03114200-5;Futterpflanzen;Forage;Plantas forrajeras;Plantes fourragères;Plantas forrageiras;03114200
03211110-7;Hartweizen;Durum wheat;Trigo duro;Blé dur;Trigo duro;03211110
03212212-9;Kichererbsen;Chick peas;Garbanzos;Pois chiches;Grão-de-bico;03212212
03221200-8;Fruchtgemüse;Fruit vegetables;Frutos hortícolas;Légumes-fruits;Frutos hortícolas;03221200
03222000-3;Früchte und Nüsse;Fruit and nuts;Frutas y frutos de cáscara;Fruits et fruits à coque;Fruta e frutos de casca rija;03222000
03322100-3;Schafe;Sheep;Ovejas;Moutons;Ovinos;03322100
03419200-2;Grubenholz;Mining timber;Madera de mina;Bois de mine;Madeira para minas;03419200
09132300-6;Kraftstoff mit Ethanol;Petrol with ethanol;Gasolina con etanol;Essence à l'éthanol;Gasolina com etanol;09132300
09211500-6;Getriebeöle (für Reduktoren);Reductor oils;Aceites para reductores;Huiles pour réducteurs;Óleos para engrenagens redutoras;09211500
09211650-2;Bremsflüssigkeiten;Brake fluids;Líquidos de frenos;Liquides de frein;Fluidos de travões;09211650
09300000-2;Elektrizität, Heizung, Sonnen- und Kernenergie;Electricity, heating, solar and nuclear energy;Electricidad, calefacción, energías solar y nuclear;Électricité, chauffage, énergie solaire et nucléaire;Electricidade, aquecimento, energia solar e nuclear;09300000
14714000-9;Zinn;Tin;Estaño;Étain;Estanho;14714000
15119400-9;Froschschenkel;Frogs' legs;Ancas de rana;Cuisses de grenouilles;Coxas de rã;15119400
15131490-6;Fertiggerichte aus Schweinefleisch;Prepared pork dishes;Platos preparados con carne de cerdo;Plats préparés de porc;Pratos à base de carne de suíno, preparados;15131490
15212000-7;Fischrogen;Fish roe;Huevas;Œufs ou laitance de poisson;Ovas de peixe;15212000
15312400-2;Kartoffelsnacks/Erdäpfelsnacks;Potato snacks;Aperitivos a base de patatas;Produits apéritifs à base de pommes de terre;Refeições leves à base de batata;15312400
15322000-1;Gemüsesäfte;Vegetable juices;Zumos de hortalizas;Jus de légumes;Sumos de produtos hortícolas;15322000
15331100-8;Frisches oder tiefgekühltes Gemüse;Fresh or frozen vegetables;Legumbres y hortalizas frescas o congeladas;Légumes frais ou congelés;Produtos hortícolas frescos ou congelados;15331100
15331120-4;Verarbeitetes Knollengemüse;Processed tuber vegetables;Hortalizas de tubérculo elaboradas;Légumes-tubercules transformés;Tubérculos transformados;15331120
15331411-1;Gebackene Bohnen in Tomatensoße/Paradeisersoße;Baked beans;Judías blancas cocidas, en salsa de tomate;Haricots blancs à la sauce tomate;Feijão branco cozido, em molho de tomate;15331411
15331428-3;Tomatensoße/Paradeisersoße;Tomato sauce;Salsa de tomate;Sauce tomate;Molho de tomate;15331428
15332170-6;Rhabarber;Rhubarb;Ruibarbo;Rhubarbe;Ruibarbo;15332170
15332260-4;Nusspasten;Nut pastes;Pasta de frutos de cáscara;Pâtes de fruits à coque;Pastas de frutos de casca rija;15332260
15420000-8;Raffinierte Öle und Fette;Refined oils and fats;Aceites y grasas refinados;Huiles et graisses raffinées;Óleos e gorduras refinados;15420000
15421000-5;Raffinierte Öle;Refined oils;Aceites refinados;Huiles raffinées;Óleos refinados;15421000
15712000-2;Futtermittel, trocken;Dry fodder;Pienso seco;Fourrage sec;Forragem seca;15712000
15813000-0;Kleingebäck;Morning goods;Productos para el desayuno;Aliments pour petit déjeuner;Produtos perecíveis para pequeno-almoço;15813000
15893000-4;Trockenerzeugnisse;Dry goods;Productos secos;Denrées sèches;Produtos secos;15893000
15899000-6;Backpulver;Baking powder;Polvos para hornear;Levure chimique;Levedura artificial;15899000
15981100-9;Stilles Mineralwasser;Still mineral water;Agua mineral sin gas;Eau minérale plate;Água mineral não gaseificada;15981100
16400000-9;Bespritzungsmaschinen für Landwirtschaft oder Gartenbau;Spraying machinery for agriculture or horticulture;Aparatos de pulverizar para la agricultura o la horticultura;Machines de pulvérisation à usage agricole ou horticole;Máquinas pulverizadoras para agricultura ou horticultura;16400000
16700000-2;Traktoren;Tractors;Tractores;Tracteurs;Tractores;16700000
18222100-2;"Herrenanzüge; Damenhosenanzüge und -kostüme";Suits;Trajes y vestidos;"Costumes (hommes); tailleurs (femmes)";Fatos;18222100
18300000-2;Kleidung;Garments;Prendas de vestir;Articles d'habillement;Peças de vestuário;18300000
18811000-7;Wasserdichtes Schuhwerk;Waterproof footwear;Calzado impermeable;Chaussures étanches;Calçado impermeável;18811000
19131000-3;Schafs- oder Lammleder;Sheep- or lamb-skin leather;Piel de oveja o cordero;Peau de mouton ou d'agneau;Couro de ovinos;19131000
19514000-2;Gummiregenerat;Reclaimed rubber;Caucho regenerado;Caoutchouc régénéré;Borracha regenerada;19514000
19522110-5;Rohrleitungen aus Epoxidharz;Epoxy-resin tubing;Tubos de resina epoxi;Tubes en résine d'époxy;Tubagem de resina epóxida;19522110
22200000-2;Zeitungen, Fachzeitschriften, Periodika und Zeitschriften;Newspapers, journals, periodicals and magazines;Periódicos, revistas especializadas, publicaciones periódicas y revistas;Journaux, revues spécialisées, périodiques et magazines;Jornais, revistas especializadas, publicações periódicas e revistas;22200000
22462000-6;Werbeschriften;Advertising material;Material de publicidad;Imprimés publicitaires;Material publicitário;22462000
22822000-8;Geschäftsvordrucke;Business forms;Formularios comerciales;Formulaires commerciaux;Formulários comerciais;22822000
24311420-7;Phosphorsäure;Phosphoric acid;Ácido fosfórico;Acide phosphorique;Ácido fosfórico;24311420
24313200-3;Phosphinate, Phosphonate, Phosphate und Polyphosphate;Phosphinates, phosphonates, phosphates and polyphosphates;Fosfinatos, fosfonatos, fosfatos y polifosfatos;Phosphinates, phosphonates, phosphates et polyphosphates;Fosfinatos, fosfonatos, fosfatos e polifosfatos;24313200
24315000-5;Diverse anorganische Chemikalien;Miscellaneous inorganic chemicals;Productos químicos inorgánicos diversos;Produits chimiques inorganiques divers;Produtos químicos inorgânicos diversos;24315000
24322310-3;Ethylenglykol;Ethylene glycol;Etilenglicol;Éthylène glycol;Etilenoglicol;24322310
24322320-6;Alkoholderivate;Alcohol derivatives;Derivados de alcoholes;Dérivés d'alcools;Derivados do álcool;24322320
24326310-1;Ethylenoxid;Ethylene oxide;Óxido de etileno;Oxyde d'éthylène;Óxido de etileno;24326310
24327400-6;Harzerzeugnisse;Resin products;Productos de resina;Produits à base de résine;Produtos resinosos;24327400
30125130-1;Toner für Datenverarbeitungs-, Forschungs- und Dokumentationszentren;Toner for data-processing and research and documentation centres;Tóner para centros de proceso de datos y centros de investigación y documentación;Encre pour centres de calcul, de recherche et de documentation;Tóner para centros de processamento de dados e de investigação e documentação;30125130
30144200-2;Kartenautomaten;Ticket-issuing machines;Máquinas expendedoras de billetes;Distributeurs automatiques de tickets;Máquinas para emitir bilhetes;30144200
30175000-6;Beschriftungsgeräte;Lettering equipment;Equipos de rotulación;Nécessaire pour lettrage;Equipamento de composição de palavras (lettering);30175000
30192950-5;Elektrische Tintenlöscher;Electrical erasers;Borradores eléctricos;Effaceurs électriques;Apagadores eléctricos;30192950
30193000-8;Ordnungssysteme und Zubehör;Organisers and accessories;Organizadores de despacho y accesorios;Organisateurs et accessoires;Classificadores e acessórios;30193000
30195000-2;Tafeln;Boards;Tableros;Tableaux;Quadros;30195000
30197300-9;Brieföffner, Hefter und Locher;Letter openers, staplers and hole punches;Abrecartas, grapadoras y perforadoras de papel;Ouvre-lettres, agrafeuses et perforateurs à trous;Abridores de envelopes, agrafadores e furadores;30197300
30197310-2;Brieföffner;Letter openers;Abrecartas;Ouvre-lettres;Abridores de envelopes;30197310
30211100-2;Supercomputer;Super computer;Superordenador;Superordinateur;Supercomputador;30211100
30211300-4;Computerplattformen;Computer platforms;Plataformas informáticas;Plates-formes informatiques;Plataformas informáticas;30211300
30231320-6;Tastbildschirme;Touch screen monitors;Monitores de pantalla táctil;Moniteurs à écran tactile;Monitores de ecrã táctil;30231320
30233131-8;Diskettenlaufwerke;Floppy-disk drives;Unidades de disco flexible;Unités de disques souples;Unidades de disquete;30233131
30233320-0;Kombinierte Chipkarten- und Fingerabdruckleser;Combined smart card and fingerprint readers;Lectores combinados de tarjetas inteligentes y huellas dactilares;Lecteurs combinés de cartes à puces et d'empreintes digitales;Leitores combinados de cartões inteligentes e de impressões digitais;30233320
30236100-3;Speichererweiterungsvorrichtungen;Memory-expansion equipment;Equipo para ampliación de memoria;Matériel d'extension de mémoire;Equipamento para ampliação de memória;30236100
30236122-3;EPROM (Erasable Programmable Read Only Memory, löschbarer programmierbarer Nur-Lese-Speicher);Erasable programmable read only memory (EPROM);Memoria EPROM (Erasable Programmable Read Only Memory);Mémoire morte reprogrammable (EPROM);Memória exclusivamente de leitura, programável e apagável (EPROM);30236122
30237250-6;Computerreinigungszubehör;Computer cleaning accessories;Accesorios para limpieza de ordenadores;Accessoires de nettoyage pour ordinateur;Acessórios para limpeza de computadores;30237250
30237330-1;DAT-Kassetten;Digital Audio Tape (DAT) cartridges;Cintas de audio digital (DAT);Cartouches de bandes audionumériques (DAT);Cartuchos de bandas audionuméricas (DAT);30237330
30237370-3;Aufzeichnungskassetten;Recording cartridges;Cartuchos grabadores;Cartouches d'enregistrement;Cartuchos para gravação de discos;30237370
31131000-3;Einphasenmotoren;Single-phase motors;Motores monofásicos;Moteurs monophasés;Motores monofásicos;31131000
31213300-5;Kabelverteilschrank;Cable distribution cabinet;Caja de distribución por cable;Boîtiers de distribution par câble;Caixa de distribuição por cabo;31213300
31220000-4;Stromkreiselemente;Electrical circuit components;Componentes de circuitos eléctricos;Composants de circuits électriques;Componentes de circuitos eléctricos;31220000
31520000-7;Leuchten und Beleuchtungszubehör;Lamps and light fittings;Lámparas y accesorios de iluminación;Lampes et appareils d'éclairage;Candeeiros e acessórios para iluminação;31520000
31521200-6;Stehlampen;Floor-standing lamps;Lámparas de pie;Lampadaires;Candeeiros de pé;31521200
31532100-5;Röhrenlampen;Tube lamps;Lámparas de tubo;Lampes à tube;Lâmpadas tubulares (tubos);31532100
31532400-8;Lampenfassungen;Lamps sockets;Casquillos;Douilles de lampes;Casquilhos para lâmpadas;31532400
31611000-2;Kabelsätze;Wiring sets;Juegos de cables;Jeux de câblage;Jogos de fios;31611000
31670000-3;Elektrische Teile für Maschinen oder Geräte;Electrical parts of machinery or apparatus;Partes eléctricas de maquinaria o aparatos;Pièces électriques de machines ou d'appareils;Peças eléctricas para máquinas ou aparelhos;31670000
31682300-3;Mittelspannungsanlagen;Medium-voltage equipment;Equipo de media tensión;Équipement moyenne tension;Equipamento de média tensão;31682300
32224000-9;Sendegeräte für Fernsehen;Television transmission apparatus;Aparatos transmisores de televisión;Appareils émetteurs de télévision;Aparelhos emissores de televisão;32224000
32231000-1;Fernsehgeräte im Kurzschlussbetrieb;Closed-circuit television apparatus;Aparatos de televisión en circuito cerrado;Appareils de télévision en circuit fermé;Aparelhos de televisão de circuito fechado;32231000
32270000-6;Digitale Übertragungsgeräte;Digital transmission apparatus;Aparatos de transmisión digital;Appareils de transmission numérique;Aparelhos para transmissão digital;32270000
32300000-6;Rundfunk- und Fernsehgeräte sowie Ton- und Bildaufnahme- und -wiedergabegeräte;Television and radio receivers, and sound or video recording or reproducing apparatus;Receptores de televisión y radio, y aparatos de grabación o reproducción de sonido o imagen;Récepteurs de télévision et de radio et appareils d'enregistrement ou de reproduction du son ou de l'image;Aparelhos receptores de rádio e televisão e aparelhos para gravação ou reprodução de som e imagem;32300000
32331100-3;Plattenspieler;Record players;Tocadiscos;Tourne-disques;Gira-discos;32331100
32341000-5;Mikrofone;Microphones;Micrófonos;Micros;Microfones;32341000
32344250-3;Funkanlagen;Radio installations;Instalaciones de radio;Installations radio;Instalações de rádio;32344250
32353000-2;Tonaufzeichnungen;Sound recordings;Grabaciones de sonido;Enregistrements sonores;Gravações de som;32353000
32442100-4;Klemmenbretter;Terminal boards;Cajas de bornes;Plaquettes de connexion;Placas de bornes;32442100
32544000-8;Fernsprech-Nebenstellenanlage;PABX equipment;Equipo de PABX;Matériel PABX;Equipamento para centrais privadas de comutação telefónica (PABX);32544000
32551100-1;Telefonanschlüsse;Telephone connections;Conexiones telefónicas;Raccordements téléphoniques;Ligações telefónicas;32551100
32552310-3;Digitale Vermittlungen im Fernsprechnetz;Digital telephone exchanges;Centrales telefónicas digitales;Centraux téléphoniques numériques;Centrais telefónicas digitais;32552310
33137000-9;Material für Zahnprophylaxe;Dental prophylaxis accessories;Material accesorio para profilaxis dental;Petit matériel de prophylaxie dentaire;Acessórios de profilaxia dentária;33137000
33141323-0;Biopsienadeln;Biopsy needles;Agujas para biopsia;Aiguilles de biopsie;Agulhas de biópsia;33141323
33141328-5;Epiduralkanülen;Epidural needles;Agujas para inyección epidural;Aiguilles de péridurale;Agulhas epidurais;33141328
33141625-7;Diagnoseausrüstung;Diagnostic kits;Kits para diagnóstico;Kits de diagnostic;Kits de diagnóstico;33141625
33166000-1;Dermatologieausrüstung;Dermatological devices;Aparatos de dermatología;Équipements et instruments pour dermatologie;Aparelhos para dermatologia;33166000
33191000-5;Sterilisierungs-, Desinfektions- und Reinigungsausrüstung;Sterilisation, disinfection and hygiene devices;Aparatos para esterilización, desinfección e higiene;Dispositifs de stérilisation, de désinfection et d'hygiène;Aparelhos para esterilização, desinfecção e higiene;33191000
33194110-0;Infusionspumpen;Infusion pumps;Bombas de infusión;Pompes à perfusion;Bombas para perfusão;33194110
33194120-3;Infusionsbesteck;Infusion supplies;Artículos para perfusión;Fournitures pour perfusion;Material de infusão;33194120
33197000-7;Computerausrüstung für die Medizin;Medical computer equipment;Equipo informático para uso médico;Matériel informatique à usage médical;Equipamento informático para fins médicos;33197000
33610000-9;Arzneimittel für Verdauungstrakt und Stoffwechsel;Medicinal products for the alimentary tract and metabolism;Medicamentos para el aparato digestivo y el metabolismo;Médicaments des voies digestives et du métabolisme;Medicamentos para o tracto digestivo e o metabolismo;33610000
33622800-4;Mittel mit Wirkung auf das Renin-Angiotensin-System;Agents acting on the renin-angiotensin system;Medicamentos que actúan sobre el sistema renina-angiotensina;Médicaments agissant sur le système rénine-angiotensine;Medicamentos que actuam no sistema renina-angiotensina;33622800
33652100-6;Antineoplastische Mittel;Antineoplastic agents;Agentes antineoplásicos;Antinéoplasiques;Antineoplásicos;33652100
33682000-4;Gummibodenplatten;Rubber tiles;Baldosas de caucho;Dalles en caoutchouc;Ladrilhos de borracha;33682000
33691200-2;Anthelmintika;Anthelmintics;Antihelmínticos;Antihelminthiques;Anti-helmínticos;33691200
33696000-5;Reagentien und Kontrastmittel;Reagents and contrast media;Reactivos y medios de contraste;Réactifs et produits de contraste;Reagentes e meios de contraste;33696000
33711300-0;Hand- oder Fußpflegemittel;Manicure or pedicure preparations;Productos para manicura o pedicura;Produits de manucure ou de pédicure;Preparações para manicura ou pedicura;33711300
33711520-8;Duschgele;Bath gels;Geles de baño;Gels de bain;Gel de banho;33711520
33711790-1;Dental-Set;Dental kits;Estuche de higiene dental;Kits d'hygiène dentaire;Conjuntos de higiene oral;33711790
33722200-9;Pedikürset;Pedicure sets;Estuches de pedicura;Trousses de pédicure;Estojos de pedicura;33722200
33731000-3;Kontaktlinsen;Contact lenses;Lentes de contacto;Verres de contact;Lentes de contacto;33731000
